spkid,GM,diameter,extent,class
2000001,62.6284,939.4,964.4 x 964.2 x 891.8,MBA
2000002,14.3,545,582x556x500,MBA
2000003,,246.596,,MBA
2000004,17.8,525.4,572.6 x 557.2 x 446.4,MBA
2000005,,106.699,,MBA
2000006,,185.18,,MBA
2000007,,199.83,,MBA
2000008,,147.491,,MBA
2000009,,190,,MBA
2000010,7,407.12,,MBA
2000011,,142.887,,MBA
2000012,,115.087,,MBA
2000013,,202.636,,MBA
2000014,,152,,MBA
2000015,,231.689,,MBA
2000016,1.53,226,279 x 232 x 189,MBA
2000017,,84.899,,MBA
2000018,,139.594,,MBA
2000019,,200,,MBA
2000020,,135.68,,MBA
2000021,,95.76,,MBA
2000022,0.491,167.536,,MBA
2000023,,107.53,,MBA
2000024,,198,,MBA
2000025,,61.054,,MBA
2000026,,94.8,,MBA
2000027,,96,,MBA
2000028,,120.9,,MBA
2000029,,189.559,,MBA
2000030,,92.787,,MBA
2000031,,267.08,,MBA
2000032,,80.76,,MBA
2000033,,52.929,,MBA
2000034,,132.992,,MBA
2000035,,103.055,,MBA
2000036,,132.842,,MBA
2000037,,108.35,,MBA
2000038,,92.255,,MBA
2000039,,179.484,,MBA
2000040,,111.251,,MBA
2000041,,205.495,,MBA
2000042,,110.997,,MBA
2000043,,71.34,,MBA
2000044,,70.64,,MBA
2000045,,202.327,,MBA
2000046,,131.471,,MBA
2000047,,168.174,,MBA
2000048,,216.473,,MBA
2000049,,166.252,,MBA
2000050,,84.074,,MBA
2000051,,138.159,,MBA
2000052,,303.918,,MBA
2000053,,97.262,,MBA
2000054,,160.12,,MBA
2000055,,84.794,,MBA
2000056,,121.333,,MBA
2000057,,112.59,,MBA
2000058,,106.517,,MBA
2000059,,165.119,,MBA
2000060,,43.218,,MBA
2000061,,85.937,,MBA
2000062,,106.921,,MBA
2000063,,116.044,,MBA
2000064,,58.292,,MBA
2000065,,237.26,,OMB
2000066,,71.82,,MBA
2000067,,56.309,,MBA
2000068,,122.509,,MBA
2000069,,138.13,,MBA
2000070,,127.911,,MBA
2000071,,83.42,,MBA
2000072,,74.966,,MBA
2000073,,44.59,,MBA
2000074,,118.71,,MBA
2000075,,62.377,,MBA
2000076,,145.423,,OMB
2000077,,61.39,,MBA
2000078,,120.6,,MBA
2000079,,63.479,,MBA
2000080,,68.563,,MBA
2000081,,117.727,,MBA
2000082,,57.621,,MBA
2000083,,110.503,,MBA
2000084,,79.16,,MBA
2000085,,154.79,,MBA
2000086,,109.929,,MBA
2000087,,253.051,,OMB
2000088,,232,,MBA
2000089,,145.483,,MBA
2000090,,115.974,,MBA
2000091,,103.402,,MBA
2000092,,126.42,,MBA
2000093,,154.155,,MBA
2000094,,204.89,,MBA
2000095,,147.969,,MBA
2000096,,177.774,,MBA
2000097,,100.717,,MBA
2000098,,132.788,,MBA
2000099,,67.354,,MBA
2000100,,85.734,,MBA
2000101,,65.84,,MBA
2000102,,82.595,,MBA
2000103,,83.908,,MBA
2000104,,136.553,,MBA
2000105,,94.864,,MBA
2000106,,207.869,,MBA
2000107,0.7475,210.37,,OMB
2000108,,75.498,,OMB
2000109,,82.588,,MBA
2000110,,86.09,,MBA
2000111,,126.344,,MBA
2000112,,69.818,,MBA
2000113,,50.137,,MBA
2000114,,94.178,,MBA
2000115,,79.83,,MBA
2000116,,71.7,,MBA
2000117,,208.974,,MBA
2000118,,40.211,,MBA
2000119,,57.3,,MBA
2000120,,155.132,,MBA
2000121,,209,,OMB
2000122,,70.676,,OMB
2000123,,45.209,,MBA
2000124,,88.648,,MBA
2000125,,48.418,,MBA
2000126,,44.82,,MBA
2000127,,122,,MBA
2000128,,162.515,,MBA
2000129,,113,,MBA
2000130,,180.652,,MBA
2000131,,31.337,,MBA
2000132,,42.87,,MCA
2000133,,72.175,,MBA
2000134,,108,,MBA
2000135,,79.24,,MBA
2000136,,36.893,,MBA
2000137,,128.678,,MBA
2000138,,52.905,,MBA
2000139,,151.116,,MBA
2000140,,109.79,,MBA
2000141,,117.916,,MBA
2000142,,54.812,,MBA
2000143,,95.377,,MBA
2000144,,142.38,,MBA
2000145,,127.783,,MBA
2000146,,160.31,,MBA
2000147,,132.93,,MBA
2000148,,97.75,,MBA
2000149,,23.719,,MBA
2000150,,119.128,,MBA
2000151,,39.037,,MBA
2000152,,58.964,,MBA
2000153,,170.63,,OMB
2000154,,192.611,,MBA
2000155,,39.605,,MBA
2000156,,143.346,,MBA
2000157,,19.959,,MBA
2000158,,39.025,,MBA
2000159,,125.236,,MBA
2000160,,81.24,,MBA
2000161,,40.992,,MBA
2000162,,97.021,,MBA
2000163,,81.579,,MBA
2000164,,100.254,,MBA
2000165,,180.083,,MBA
2000166,,52.393,,MBA
2000167,,39.935,,MBA
2000168,,145.366,,OMB
2000169,,37.517,,MBA
2000170,,33.136,,MBA
2000171,,130.808,,MBA
2000172,,62.43,,MBA
2000173,,125.821,,MBA
2000174,,64.849,,MBA
2000175,,94.532,,MBA
2000176,,106.976,,MBA
2000177,,69.049,,MBA
2000178,,35.81,,MBA
2000179,,69.946,,MBA
2000180,,23.44,,MBA
2000181,,115.383,,MBA
2000182,,39.52,,MBA
2000183,,32.927,,MBA
2000184,,62.483,,MBA
2000185,,160.464,,MBA
2000186,,49.99,,MBA
2000187,,147.294,,MBA
2000188,,35.752,,MBA
2000189,,38.49,,MBA
2000190,,159,,OMB
2000191,,94.536,,MBA
2000192,,98.776,,MBA
2000193,,26.302,,MBA
2000194,,161.667,,MBA
2000195,,93.109,,MBA
2000196,,144.626,,MBA
2000197,,31.729,,MBA
2000198,,54.323,,MBA
2000199,,76.129,,MBA
2000200,,128.301,,MBA
2000201,,85.877,,MBA
2000202,,86.15,,MBA
2000203,,124.592,,MBA
2000204,,48.566,,MBA
2000205,,76.983,,MBA
2000206,,113,,MBA
2000207,,57.88,,MBA
2000208,,40.056,,MBA
2000209,,179.008,,MBA
2000210,,86.65,,MBA
2000211,,141.125,,MBA
2000212,,136.12,,MBA
2000213,,82.096,,MBA
2000214,,24.957,,MBA
2000215,,35.21,,MBA
2000216,,122,276x94x78,MBA
2000217,,65.392,,MBA
2000218,,60.62,,MBA
2000219,,37.674,,MBA
2000220,,31.738,,MBA
2000221,,95.469,,MBA
2000222,,55.35,,MBA
2000223,,79.806,,MBA
2000224,,58.236,,MBA
2000225,,95.934,,OMB
2000226,,31.494,,MBA
2000227,,123.891,,MBA
2000228,,9.3,,MBA
2000229,,105.912,,OMB
2000230,,111.332,,MBA
2000231,,73.545,,MBA
2000232,,54.73,,MBA
2000233,,99.672,,MBA
2000234,,45.476,,MBA
2000235,,57.517,,MBA
2000236,,77.708,,MBA
2000237,,41.08,,MBA
2000238,,155.659,,MBA
2000239,,37.609,,MBA
2000240,,87.928,,MBA
2000241,,168.9,,MBA
2000242,,40.802,,MBA
2000243,0.00275,32,59.8x25.4x18.6,MBA
2000244,,11.077,,MBA
2000245,,75.949,,MBA
2000246,,50.891,,MBA
2000247,,130.935,,MBA
2000248,,50.12,,MBA
2000249,,34.83,,MBA
2000250,,120.995,,MBA
2000251,,27.495,,MBA
2000252,,65.344,,MBA
2000253,0.00689,52.8,,MBA
2000254,,12.467,,MBA
2000255,,56.939,,MBA
2000256,,66.634,,MBA
2000257,,72.66,,MBA
2000258,,64.78,,MBA
2000259,,174.318,,MBA
2000260,,101.539,,OMB
2000261,,50.011,,MBA
2000262,,14.645,,MBA
2000263,,23.952,,MBA
2000264,,62.969,,MBA
2000265,,22.767,,MBA
2000266,,109.494,,MBA
2000267,,55.998,,MBA
2000268,,144.585,,MBA
2000269,,50.728,,MBA
2000270,,51.4,,MBA
2000271,,65.901,,MBA
2000272,,26.87,,MBA
2000273,,29.768,,MBA
2000274,,27.307,,MBA
2000275,,103,,MBA
2000276,,114.723,,MBA
2000277,,30.422,,MBA
2000278,,32.773,,MBA
2000279,,126.59,,OMB
2000280,,45.69,,MBA
2000281,,11.036,,MBA
2000282,,39.03,,MBA
2000283,,132.385,,MBA
2000284,,52.95,,MBA
2000285,,47.156,,MBA
2000286,,94.3,,MBA
2000287,,59.615,,MBA
2000288,,28.981,,MBA
2000289,,37.586,,MBA
2000290,,9.822,,MBA
2000291,,10.456,,MBA
2000292,,30.864,,MBA
2000293,,57.486,,MBA
2000294,,51.865,,MBA
2000295,,28.34,,MBA
2000296,,8.196,,MBA
2000297,,39.48,,MBA
2000298,,21.135,,MBA
2000299,,15.757,,MBA
2000300,,67.373,,OMB
2000301,,53.042,,MBA
2000302,,38.53,,MBA
2000303,,124.923,,MBA
2000304,,65.99,,MBA
2000305,,47.739,,MBA
2000306,,47.2,,MBA
2000307,,61.313,,MBA
2000308,,128.578,,MBA
2000309,,41.075,,MBA
2000310,,33.708,,MBA
2000311,,26.3,,MBA
2000312,,46.191,,MBA
2000313,,71.183,,MBA
2000314,,60.689,,MBA
2000315,,6.534,,MBA
